Time,Theta_SW,Theta_H,Theta_A,Theta_S,K_H,K_A,B_H,B_A
0,0,0,1,0,0.5,0.5,0.1,0.1
0.002,0,0.001999999,0.999998,9.04E-05,0.5,0.5,0.1,0.1
0.004,9.93E-06,0.003999989,0.999992,0.000355435,0.5,0.5,0.1,0.1
0.006,4.11E-05,0.005999964,0.999982,0.000783004,0.5,0.5,0.1,0.1
0.008,0.000107563,0.007999915,0.999968,0.001355816,0.5,0.5,0.1,0.1
0.01,0.000227325,0.009999833,0.99995,0.002052976,0.5,0.5,0.1,0.1
0.012,0.000420413,0.011999712,0.999928001,0.002851406,0.5,0.5,0.1,0.1
0.014,0.000707517,0.013999543,0.999902002,0.003727433,0.5,0.5,0.1,0.1
0.016,0.001108338,0.015999317,0.999872003,0.004658392,0.5,0.5,0.1,0.1
0.018,0.001640088,0.017999028,0.999838004,0.005624134,0.5,0.5,0.1,0.1
0.02,0.002316193,0.019998667,0.999800007,0.006608314,0.5,0.5,0.1,0.1
0.022,0.003145295,0.021998225,0.99975801,0.007599396,0.5,0.5,0.1,0.1
0.024,0.004130617,0.023997696,0.999712014,0.008591286,0.5,0.5,0.1,0.1
0.026,0.005269725,0.025997071,0.999662019,0.009583566,0.5,0.5,0.1,0.1
0.028,0.00655471,0.027996341,0.999608026,0.010581319,0.5,0.5,0.1,0.1
0.03,0.007972754,0.0299955,0.999550034,0.011594562,0.5,0.5,0.1,0.1
0.032,0.009507036,0.031994539,0.999488044,0.012637331,0.5,0.5,0.1,0.1
0.034,0.011137924,0.03399345,0.999422056,0.013726503,0.5,0.5,0.1,0.1
0.036,0.012844327,0.035992225,0.99935207,0.014880432,0.5,0.5,0.1,0.1
0.038,0.014605147,0.037990855,0.999278087,0.016117507,0.5,0.5,0.1,0.1
0.04,0.016400694,0.039989334,0.999200107,0.01745473,0.5,0.5,0.1,0.1
0.042,0.018213974,0.041987653,0.99911813,0.018906429,0.5,0.5,0.1,0.1
0.044,0.020031771,0.043985804,0.999032156,0.020483178,0.5,0.5,0.1,0.1
0.046,0.021845427,0.045983779,0.998942187,0.022191018,0.5,0.5,0.1,0.1
